Actions,%,Total
2021-10-22T21:19:07Z       IG       0       organização       melhoria técnica       O momentim marromeno       Estamos em desenvolvimento,2.08%,1
2021-10-22T21:19:16Z       infraestrutura       80       trabalho em equipe e organização       alinhamento        Tô baum       foi bom  mas poderia ser melhor,2.08%,1
2021-10-22T21:19:19Z       Infra       8       Aprendi muito no alura       Não terminei todos os cursos necessários ainda       O momentim marromeno       Tenho que fazer documentação junto aos cursos isso é o que me atrasou.,2.08%,1
2021-10-22T21:19:31Z       AWS-SGM       80       Testar requisições com vários endereços e verificar erros de requisilçao http       Várias requisições       Tô baum       Espera avançar mais mas devido os erros fiquei preso em como mensura-los,2.08%,1
2021-10-22T21:19:38Z       Infraestrutura       25       fiz algumas pesquisas relacionadas a segurança do experimento e alguns tutorias em relação a segurança em geral       poderia melhorar a comunicação com a equipe e o tempo de dedicação       Atolado no barro       essa semana foi uma semana ruim para mim não consegue chegar nos objetivos propostos por mim,2.08%,1
2021-10-22T21:19:51Z       BatCaverna       90       Conseguimos avançar bem sobre os formulários estipulado durante a semana        Até o momento conseguimos atender bem as demandas acredito que um ponto seria é arrumar mais as entregas no gitlab       To baum dimais da conta!       A equipe se encontra satisfeito com as entregas,2.08%,1
2021-10-22T21:19:54Z       Data Analytics       50       O time compreendeu bem o problema que deve resolver e esta conseguindo avanços rápidos quando requisitados        Melhor a documentação do código e conversas com outras áreas       Tô baum       COnseguimos superar alguns desafios que apareceram e estamos de volta aos trilhos normais de produção,2.08%,1
2021-10-22T21:19:59Z       DA       80       Trabalho em equipe       Melhorar a tecnica       Tô baum       Porque a equipe fez uma boa entrega e trabalhou em conjunto,2.08%,1
2021-10-22T21:20:28Z       Marketing       80       conteúdo e conceitos absorvidos através da pesquisa realizada       comunicação entre a equipe para garantia da corretude das entregas       bão       entregas satisfatorias e andamento nos objetivos principais de melhoria,2.08%,1
2021-10-22T21:20:52Z       Processo Seletivo       100       Comunicação e empenho       Mais explicação do conteúdo       Tô baum       Estou em aprendizado,2.08%,1
2021-10-22T21:20:57Z       Trainee       90       Código feito com sucesso e uma interação social       A interação social       Tô baum       Fiz o que pude. Sempre gosto de fazer o melhor que eu posso.,2.08%,1
2021-10-22T21:21:07Z       Data Analytics       80       Aprendizado com cursos na Alura       Dedicar mais horas       Tô baum       Acredito que cumpri o que foi pedido porém acho que poderia render mais.,2.08%,1
2021-10-22T21:21:39Z       Treinee       80       Implementação de funcionalidades no backend relacionadas à característica "Projetos".       Melhorar a comunicação interna       Atolado no barro       Como o tempo empregado está sendo divido entre treinamentos e desenvolvimento sinto que na medida que o conhecimento técnico for aumentando o desenvolvimento das tarefas será mais direto.,2.08%,1
2021-10-22T21:23:05Z       Batcaverna       60       Estou me capacitando para realizar testes porém não terminei um dos cursos no tempo hábil.       organizar o tempo       Tô baum       precisava terminar o curso,2.08%,1
2021-10-22T21:29:25Z       Squad 3 traineer       70       Acredito que o protótipo do figma ficou bem detalhado e com as rotas inicialmente bem definidas       Acresito que mais ferramentas possam ser aprendidas e exploradas melhorando significaremos o design       O momentim marromeno       Estou tendo um pouco de dificuldade para desenvolver o front mobile do protótipo em questão,2.08%,1
2021-10-01T18:31:16Z       Operação (Squad Moon)       70       Muito estudo dúvidas e aprendizado.       Entender a infraestrutura       Tô baum       Estou bem tranquila com o trabalho,2.08%,1
2021-10-01T19:11:20Z       Squad Galaxy       90       Proatividade responsabilidade e confiança       Parte técnica de plataforma (desenvolvimento)       To baum dimais da conta!       Entrega de resultados e conquistas,2.08%,1
